index,team,player_1,player_2,score_1,score_2
526,Sunrisers Hyderabad,DA Warner,MK Pandey,53,60
527,Sunrisers Hyderabad,MK Pandey,V Shankar,20,26
528,Sunrisers Hyderabad,YK Pathan,MK Pandey,5,3
557,Chennai Super Kings,SR Watson,M Vijay,8,1
558,Chennai Super Kings,SK Raina,M Vijay,2,11
559,Chennai Super Kings,AT Rayudu,M Vijay,0,12
560,Chennai Super Kings,M Vijay,KM Jadhav,5,6
561,Chennai Super Kings,M Vijay,DR Shorey,7,5
562,Chennai Super Kings,DJ Bravo,M Vijay,3,2
563,Chennai Super Kings,DJ Bravo,MJ Santner,17,14
564,Chennai Super Kings,DL Chahar,MJ Santner,0,1
565,Chennai Super Kings,Harbhajan Singh,MJ Santner,1,1
566,Chennai Super Kings,Imran Tahir,MJ Santner,0,6
567,Mumbai Indians,RG Sharma,Q de Kock,8,15
568,Mumbai Indians,RG Sharma,E Lewis,41,32
569,Mumbai Indians,RG Sharma,KH Pandya,1,1
570,Mumbai Indians,RG Sharma,HH Pandya,17,4
571,Mumbai Indians,KA Pollard,HH Pandya,13,19
576,Sunrisers Hyderabad,DA Warner,KS Williamson,13,13
577,Sunrisers Hyderabad,DA Warner,MK Pandey,24,50
578,Sunrisers Hyderabad,MK Pandey,V Shankar,11,7
579,Sunrisers Hyderabad,Shakib Al Hasan,V Shankar,3,1
580,Sunrisers Hyderabad,Shakib Al Hasan,DJ Hooda,2,0
581,Sunrisers Hyderabad,Shakib Al Hasan,WP Saha,4,5
582,Sunrisers Hyderabad,Shakib Al Hasan,Rashid Khan,0,0
583,Sunrisers Hyderabad,B Kumar,Rashid Khan,1,5
584,Sunrisers Hyderabad,S Kaul,Rashid Khan,0,12
593,Delhi Capitals,S Dhawan,PP Shaw,16,18
594,Delhi Capitals,S Dhawan,SS Iyer,34,34
595,Delhi Capitals,SS Iyer,RR Pant,17,7
596,Delhi Capitals,CA Ingram,SS Iyer,1,1
597,Delhi Capitals,CA Ingram,SE Rutherford,10,2
598,Delhi Capitals,AR Patel,SE Rutherford,16,26
599,Mumbai Indians,RG Sharma,Q de Kock,8,0
600,Mumbai Indians,RG Sharma,E Lewis,4,8
601,Mumbai Indians,E Lewis,SA Yadav,7,13
602,Mumbai Indians,KA Pollard,SA Yadav,4,13
603,Mumbai Indians,KA Pollard,HH Pandya,16,46
604,Mumbai Indians,KH Pandya,HH Pandya,15,45
605,Mumbai Indians,KH Pandya,BB Sran,9,2
606,Mumbai Indians,BB Sran,RD Chahar,1,1
619,Sunrisers Hyderabad,DA Warner,WP Saha,38,28
620,Sunrisers Hyderabad,DA Warner,MK Pandey,43,36
621,Sunrisers Hyderabad,Mohammad Nabi,DA Warner,3,0
622,Sunrisers Hyderabad,Mohammad Nabi,KS Williamson,17,14
623,Sunrisers Hyderabad,Mohammad Nabi,Rashid Khan,0,1
624,Sunrisers Hyderabad,V Shankar,Rashid Khan,4,0
625,Sunrisers Hyderabad,V Shankar,Abhishek Sharma,3,5
635,Delhi Capitals,S Dhawan,PP Shaw,0,4
636,Delhi Capitals,S Dhawan,SS Iyer,19,29
637,Delhi Capitals,SS Iyer,RR Pant,6,5
638,Delhi Capitals,CA Ingram,SS Iyer,1,2
639,Delhi Capitals,AR Patel,SS Iyer,9,6
640,Delhi Capitals,SS Iyer,SE Rutherford,0,2
641,Delhi Capitals,CH Morris,SS Iyer,0,1
642,Delhi Capitals,J Suchith,SS Iyer,1,0
643,Delhi Capitals,A Mishra,J Suchith,2,5
644,Delhi Capitals,A Mishra,TA Boult,6,1
645,Chennai Super Kings,SR Watson,F du Plessis,0,4
646,Chennai Super Kings,SK Raina,F du Plessis,44,35
647,Chennai Super Kings,MS Dhoni,SK Raina,0,15
648,Chennai Super Kings,MS Dhoni,RA Jadeja,18,25
649,Chennai Super Kings,MS Dhoni,AT Rayudu,26,5
650,Sunrisers Hyderabad,MJ Guptill,WP Saha,14,25
651,Sunrisers Hyderabad,MJ Guptill,MK Pandey,1,16
652,Sunrisers Hyderabad,KS Williamson,MK Pandey,3,5
653,Sunrisers Hyderabad,MK Pandey,V Shankar,20,12
654,Sunrisers Hyderabad,MK Pandey,Abhishek Sharma,5,2
655,Sunrisers Hyderabad,Mohammad Nabi,MK Pandey,31,17
656,Sunrisers Hyderabad,MK Pandey,Rashid Khan,8,0
657,Mumbai Indians,RG Sharma,Q de Kock,24,11
658,Mumbai Indians,Q de Kock,SA Yadav,25,23
659,Mumbai Indians,Q de Kock,E Lewis,0,1
660,Mumbai Indians,Q de Kock,HH Pandya,10,18
661,Mumbai Indians,KA Pollard,Q de Kock,10,21
662,Mumbai Indians,Q de Kock,KH Pandya,2,9
674,Delhi Capitals,S Dhawan,PP Shaw,16,8
